127.0.0.1 - - [06/Dec/2017:12:11:06 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:11:07 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:11:07 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3713
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:11:07 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:11:07 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:11:07 +0900] "GET /BBS/images/2.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:11:07 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:11:07 +0900] "GET /BBS/images/3.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:11:07 +0900] "GET /BBS/images/1.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:11:07 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:11:47 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4296
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:11:49 +0900] "GET /BBS/view.jsp?bbsID=16 HTTP/1.1" 200 3213
0:0:0:0:0:0:0:1 - - [06/Dec/2017:12:11:51 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3713
