127.0.0.1 - - [04/Feb/2018:22:00:55 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:00:56 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3713
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:00:56 +0900] "GET /BBS/images/2.jpeg HTTP/1.1" 200 327838
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:00:56 +0900] "GET /BBS/images/1.jpeg HTTP/1.1" 200 650814
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:00:56 +0900] "GET /BBS/images/3.jpeg HTTP/1.1" 200 523768
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:00:56 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:00:56 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:00:56 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 66732
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:00:57 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:01:01 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:01:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3713
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:01:12 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:01:13 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:01:18 +0900] "GET /BBS/game.html HTTP/1.1" 200 4937
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:01:18 +0900] "GET /BBS/js/phaser.min.js HTTP/1.1" 200 821162
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:01:18 +0900] "GET /BBS/images/box.png HTTP/1.1" 200 5470
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:01:18 +0900] "GET /BBS/images/player.png HTTP/1.1" 200 9457
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:01:18 +0900] "GET /BBS/images/F.png HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [04/Feb/2018:22:01:29 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3713
